ticker,Date,filing,R&D_total,R&D_co_fund,R&D_cust_fund
RTX,12/31/2020,10-K,2582000000,,
RTX,12/31/2019,10-K,2452000000,,
RTX,12/31/2018,10-K,1878000000,,
RTX,12/31/2017,10-K,1876000000,,
RTX,12/31/2016,10-K,1857000000,,
BA,12/31/2020,10-K,2476000000,,
BA,12/31/2019,10-K,3219000000,,
BA,12/31/2018,10-K,3269000000,,
BA,12/31/2017,10-K,3179000000,,
BA,12/31/2016,10-K,4627000000,,
LMT,12/31/2020,10-K,1300000000,1300000000,
LMT,12/31/2019,10-K,1300000000,1300000000,
LMT,12/31/2018,10-K,1200000000,1200000000,
LMT,12/31/2017,10-K,1200000000,1200000000,
LMT,12/31/2016,10-K,988000000,988000000,
HII,12/31/2020,10-K,31000000,31000000,
HII,12/31/2019,10-K,23000000,23000000,
HII,12/31/2018,10-K,25000000,25000000,
HII,12/31/2017,10-K,17000000,17000000,
HII,12/31/2016,10-K,19000000,19000000,
GE,12/31/2020,10-K,3820000000,2565000000,1255000000
GE,12/31/2019,10-K,4164000000,3118000000,1046000000
GE,12/31/2018,10-K,4065000000,3415000000,650000000
GE,12/31/2017,10-K,4805000000,4134000000,671000000
GE,12/31/2016,10-K,5445000000,4738000000,707000000
LHX,12/31/2020,10-K,684000000,684000000,
LHX,12/31/2019,10-K,331000000,331000000,
LHX,12/31/2018,10-K,311000000,311000000,
LHX,12/31/2017,10-K,310000000,310000000,
LHX,12/31/2016,10-K,305000000,305000000,
GD,12/31/2020,10-K,374000000,374000000,
GD,12/31/2019,10-K,466000000,466000000,
GD,12/31/2018,10-K,502000000,502000000,
GD,12/31/2017,10-K,521000000,521000000,
GD,12/31/2016,10-K,418000000,418000000,