name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
OperatingCashFlow,"1,068,000,000","43,000,000","602,000,000","222,000,000","201,000,000","68,000,000","566,000,000","363,000,000","-44,000,000","11,000,000","648,000,000","-93,000,000","239,000,000","120,000,000","434,000,000","96,000,000","186,000,000","98,000,000","345,000,000","254,000,000","169,000,000","54,000,000","411,000,000","254,000,000","166,000,000","-3,000,000","402,000,000","256,000,000","272,000,000","-214,000,000","292,000,000","281,000,000","25,000,000","-362,000,000","373,000,000","137,000,000","151,000,000","-329,000,000","474,000,000","232,000,000","186,000,000","-364,000,000","208,000,000","173,000,000","95,000,000","-117,000,000"
	CashFlowFromContinuingOperatingActivities,"1,068,000,000","43,000,000","602,000,000","222,000,000","201,000,000","68,000,000","566,000,000","363,000,000","-44,000,000","11,000,000","648,000,000","-93,000,000","239,000,000","120,000,000","434,000,000","96,000,000","186,000,000","98,000,000","345,000,000","254,000,000","169,000,000","54,000,000","411,000,000","254,000,000","166,000,000","-3,000,000","402,000,000","256,000,000","272,000,000","-214,000,000","292,000,000","281,000,000","25,000,000","-362,000,000","373,000,000","137,000,000","151,000,000","-329,000,000","474,000,000","232,000,000","186,000,000","-364,000,000","208,000,000","173,000,000","95,000,000","-117,000,000"
		NetIncomeFromContinuingOperations,"672,000,000","148,000,000","249,000,000","222,000,000","53,000,000","172,000,000","149,000,000","154,000,000","128,000,000","118,000,000","212,000,000","229,000,000","239,000,000","156,000,000","64,000,000","149,000,000","147,000,000","119,000,000","197,000,000","107,000,000","133,000,000","136,000,000","50,000,000","111,000,000","156,000,000","87,000,000","52,000,000","96,000,000","100,000,000","90,000,000","91,000,000","69,000,000","57,000,000","44,000,000","50,000,000","13,000,000","50,000,000","33,000,000","69,000,000","-248,000,000","40,000,000","45,000,000","59,000,000","42,000,000","-11,000,000","41,000,000"
		OperatingGainsLosses,"-19,000,000","-7,000,000","7,000,000","-8,000,000","-11,000,000","16,000,000",,,,,,,,,,,,,,,,,"40,000,000",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-37,000,000","-4,000,000","-14,000,000","-8,000,000","-11,000,000","16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"254,000,000","65,000,000","70,000,000","59,000,000","60,000,000","58,000,000","66,000,000","55,000,000","54,000,000","52,000,000","46,000,000","54,000,000","53,000,000","50,000,000","52,000,000","51,000,000","50,000,000","52,000,000","47,000,000","45,000,000","48,000,000","46,000,000","45,000,000","45,000,000","44,000,000","46,000,000","38,000,000","47,000,000","49,000,000","60,000,000","75,000,000","58,000,000","44,000,000","49,000,000","47,000,000","45,000,000","45,000,000","47,000,000","46,000,000","47,000,000","46,000,000","45,000,000","40,000,000","47,000,000","46,000,000","50,000,000"
			DepreciationAndAmortization,"254,000,000","65,000,000","70,000,000","59,000,000","60,000,000","58,000,000","66,000,000","55,000,000","54,000,000","52,000,000","46,000,000","54,000,000","53,000,000","50,000,000","52,000,000","51,000,000","50,000,000","52,000,000","47,000,000","45,000,000","48,000,000","46,000,000","45,000,000","45,000,000","44,000,000","46,000,000","38,000,000","47,000,000","49,000,000","60,000,000","75,000,000","58,000,000","44,000,000","49,000,000","47,000,000","45,000,000","45,000,000","47,000,000","46,000,000","47,000,000","46,000,000","45,000,000","40,000,000","47,000,000","46,000,000","50,000,000"
				Depreciation,"196,000,000","52,000,000","55,000,000","44,000,000","45,000,000","47,000,000","54,000,000","43,000,000","42,000,000","41,000,000","38,000,000","44,000,000","44,000,000","41,000,000","42,000,000","41,000,000","41,000,000","41,000,000","40,000,000","40,000,000","42,000,000","41,000,000","38,000,000","39,000,000","38,000,000","39,000,000","30,000,000","39,000,000","43,000,000","54,000,000","71,000,000","53,000,000","39,000,000","43,000,000","43,000,000","40,000,000","40,000,000","42,000,000","41,000,000","42,000,000","41,000,000","40,000,000","36,000,000","42,000,000","41,000,000","41,000,000"
				AmortizationCashFlow,"58,000,000","13,000,000","15,000,000","15,000,000","15,000,000","11,000,000","12,000,000","12,000,000","12,000,000","11,000,000","8,000,000","10,000,000","9,000,000","9,000,000","10,000,000","10,000,000","9,000,000","11,000,000","7,000,000","5,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","7,000,000","8,000,000","8,000,000","6,000,000","6,000,000","4,000,000","5,000,000","5,000,000","6,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","5,000,000","5,000,000","9,000,000"
					AmortizationOfIntangibles,"58,000,000","13,000,000","15,000,000","15,000,000","15,000,000","11,000,000","12,000,000","12,000,000","12,000,000","11,000,000","8,000,000","10,000,000","9,000,000","9,000,000","10,000,000","10,000,000","9,000,000","11,000,000","7,000,000","5,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","7,000,000","8,000,000","8,000,000","6,000,000","6,000,000","4,000,000","5,000,000","5,000,000","6,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","5,000,000","5,000,000","9,000,000"
		DeferredTax,"36,000,000","31,000,000","30,000,000","-28,000,000","3,000,000","18,000,000","55,000,000","12,000,000","14,000,000","16,000,000","11,000,000","-12,000,000","6,000,000","5,000,000","158,000,000","-2,000,000","16,000,000","12,000,000","26,000,000","20,000,000","24,000,000","15,000,000","-20,000,000","17,000,000","-11,000,000","-1,000,000","-33,000,000","15,000,000","-12,000,000","8,000,000","-9,000,000","-47,000,000","14,000,000","14,000,000","35,000,000",,,,,,,,,,,
			DeferredIncomeTax,"36,000,000","31,000,000","30,000,000","-28,000,000","3,000,000","18,000,000","55,000,000","12,000,000","14,000,000","16,000,000","11,000,000","-12,000,000","6,000,000","5,000,000","158,000,000","-2,000,000","16,000,000","12,000,000","26,000,000","20,000,000","24,000,000","15,000,000","-20,000,000","17,000,000","-11,000,000","-1,000,000","-33,000,000","15,000,000","-12,000,000","8,000,000","-9,000,000","-47,000,000","14,000,000","14,000,000","35,000,000",,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,,"0",,
		AssetImpairmentCharge,,,"0",,,,,,,,,,,,,,,,"0","0",,,"43,000,000","0",,,,,,,,,,,"0",,,,"-10,000,000",,,,"0",,,
		ProvisionandWriteOffofAssets,,,"1,000,000","-8,000,000","6,000,000","0","-1,000,000","-3,000,000","0","-2,000,000","0",,,"0","0","-12,000,000","-7,000,000","29,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"25,000,000","9,000,000","7,000,000","3,000,000","6,000,000","7,000,000","11,000,000","7,000,000","7,000,000","5,000,000","9,000,000","12,000,000","8,000,000","7,000,000","7,000,000","7,000,000","14,000,000","6,000,000","14,000,000","11,000,000","6,000,000","5,000,000","14,000,000","8,000,000","17,000,000","4,000,000","12,000,000","11,000,000","6,000,000","5,000,000","16,000,000","9,000,000","10,000,000","9,000,000","16,000,000","9,000,000","8,000,000","8,000,000","20,000,000","9,000,000",,,"0","0",,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-22,000,000","2,000,000","0","-13,000,000","-24,000,000","0","-13,000,000","-2,000,000","-19,000,000","-2,000,000","0","-3,000,000",,,,,,,,,,,,
		OtherNonCashItems,"21,000,000","6,000,000","9,000,000","4,000,000","2,000,000","4,000,000","3,000,000","1,000,000","2,000,000","3,000,000","-7,000,000","1,000,000","3,000,000","2,000,000","5,000,000","2,000,000","1,000,000","2,000,000","-13,000,000","2,000,000","-2,000,000","4,000,000","4,000,000","5,000,000","-19,000,000","2,000,000","8,000,000","4,000,000","2,000,000","3,000,000","-53,000,000","5,000,000","2,000,000","2,000,000","10,000,000","0",,,,,"2,000,000","-9,000,000","26,000,000","-17,000,000","1,000,000","-5,000,000"
		ChangeInWorkingCapital,"67,000,000","-209,000,000","229,000,000","-35,000,000","82,000,000","-207,000,000","254,000,000","137,000,000","-249,000,000","-181,000,000","377,000,000","-373,000,000","-70,000,000","-100,000,000","126,000,000","-99,000,000","-35,000,000","-122,000,000","74,000,000","69,000,000","-40,000,000","-152,000,000","257,000,000","62,000,000","-80,000,000","-128,000,000","265,000,000","83,000,000","140,000,000","-378,000,000","191,000,000","189,000,000","-102,000,000","-477,000,000","221,000,000","24,000,000","45,000,000","-419,000,000","346,000,000","115,000,000","83,000,000","-445,000,000","104,000,000","101,000,000","59,000,000","-203,000,000"
			ChangeInReceivables,"-64,000,000","-249,000,000","179,000,000","3,000,000","3,000,000","-233,000,000","401,000,000","119,000,000","-198,000,000","-341,000,000",,,,,"12,000,000","13,000,000","-17,000,000","-43,000,000","-50,000,000","-24,000,000","64,000,000","-12,000,000","204,000,000","-34,000,000","-22,000,000","-189,000,000","106,000,000","72,000,000","124,000,000","-162,000,000","-68,000,000","46,000,000","98,000,000","-294,000,000","-22,000,000","-5,000,000","76,000,000","-243,000,000","70,000,000","118,000,000","-3,000,000","-168,000,000","28,000,000","-43,000,000","-93,000,000","-82,000,000"
				ChangesInAccountReceivables,"13,000,000","-10,000,000","94,000,000","3,000,000","-74,000,000","-93,000,000","172,000,000","78,000,000","-189,000,000","-112,000,000",,,,,"12,000,000","13,000,000","-17,000,000","-43,000,000","-50,000,000","-24,000,000","64,000,000","-12,000,000","204,000,000","-34,000,000","-22,000,000","-189,000,000","106,000,000","72,000,000","124,000,000","-162,000,000","-68,000,000","46,000,000","98,000,000","-294,000,000","-22,000,000","-5,000,000","76,000,000","-243,000,000","70,000,000","118,000,000","-3,000,000","-168,000,000","28,000,000","-43,000,000","-93,000,000","-82,000,000"
			ChangeInInventory,"12,000,000","-5,000,000","16,000,000","8,000,000","-7,000,000","-6,000,000","3,000,000","-13,000,000","1,000,000","-2,000,000","37,000,000","-6,000,000","14,000,000","-5,000,000","0","13,000,000","25,000,000","-20,000,000","58,000,000","12,000,000","3,000,000","2,000,000","23,000,000","11,000,000","17,000,000","3,000,000","12,000,000","23,000,000","20,000,000","-2,000,000","153,000,000","-77,000,000","-8,000,000","-17,000,000","59,000,000","32,000,000","20,000,000","5,000,000","86,000,000","-59,000,000","-4,000,000","-110,000,000","15,000,000","-15,000,000","41,000,000","-36,000,000"
			ChangeInPrepaidAssets,"-67,000,000","-6,000,000","-2,000,000","-56,000,000","-3,000,000","-1,000,000","-31,000,000","-19,000,000","-33,000,000","-10,000,000","-45,000,000","22,000,000","-55,000,000","38,000,000","-64,000,000","13,000,000","-12,000,000","11,000,000","34,000,000","-38,000,000","-4,000,000","-9,000,000","8,000,000","-30,000,000","2,000,000","-11,000,000","3,000,000","18,000,000","-10,000,000","-4,000,000","1,000,000","12,000,000","-28,000,000","0","14,000,000","3,000,000","-13,000,000","2,000,000","6,000,000","4,000,000","-2,000,000","-38,000,000","-1,000,000","17,000,000","-10,000,000","-4,000,000"
			ChangeInPayablesAndAccruedExpense,"414,000,000","116,000,000","29,000,000","143,000,000","126,000,000","46,000,000","-143,000,000","40,000,000","-40,000,000","147,000,000","226,000,000","31,000,000","22,000,000","56,000,000","143,000,000","33,000,000","-18,000,000","-56,000,000","1,000,000","88,000,000","-18,000,000","-112,000,000","-11,000,000","83,000,000","-14,000,000","39,000,000","100,000,000","-55,000,000","66,000,000","-197,000,000","57,000,000","158,000,000","48,000,000","-194,000,000","120,000,000","24,000,000","-33,000,000","-125,000,000","124,000,000","3,000,000","50,000,000","-127,000,000","126,000,000","96,000,000","73,000,000","-90,000,000"
			ChangeInOtherWorkingCapital,"-228,000,000","-65,000,000","7,000,000","-133,000,000","-37,000,000","-13,000,000","24,000,000","10,000,000","21,000,000","25,000,000","206,000,000","-420,000,000","-51,000,000","-189,000,000","35,000,000","-171,000,000","-13,000,000","-14,000,000","31,000,000","31,000,000","-85,000,000","-21,000,000","33,000,000","32,000,000","-63,000,000","30,000,000","44,000,000","25,000,000","-60,000,000","-13,000,000","48,000,000","50,000,000","-212,000,000","28,000,000","50,000,000","-30,000,000","-5,000,000","-58,000,000","60,000,000","49,000,000","42,000,000","-2,000,000","-64,000,000","46,000,000","48,000,000","9,000,000"
InvestingCashFlow,"-361,000,000","-46,000,000","-173,000,000","-67,000,000","-75,000,000","-444,000,000","-157,000,000","-109,000,000","-92,000,000","-269,000,000","-209,000,000","-102,000,000","-95,000,000","-70,000,000","-133,000,000","-83,000,000","-75,000,000","-58,000,000","-512,000,000","-60,000,000","-44,000,000","-37,000,000","-102,000,000","-37,000,000","-8,000,000","6,000,000","-74,000,000","-39,000,000","-254,000,000","-70,000,000","-54,000,000","28,000,000","-25,000,000","-30,000,000","-70,000,000","-35,000,000","-30,000,000","-27,000,000","-78,000,000","-36,000,000","-20,000,000","-63,000,000","-93,000,000","-36,000,000","-28,000,000","-32,000,000"
