name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
	CashFlowFromContinuingInvestingActivities,"-361,000,000","-46,000,000","-173,000,000","-67,000,000","-75,000,000","-444,000,000","-157,000,000","-109,000,000","-92,000,000","-269,000,000","-209,000,000","-102,000,000","-95,000,000","-70,000,000","-133,000,000","-83,000,000","-75,000,000","-58,000,000","-512,000,000","-60,000,000","-44,000,000","-37,000,000","-102,000,000","-37,000,000","-8,000,000","6,000,000","-74,000,000","-39,000,000","-254,000,000","-70,000,000","-54,000,000","28,000,000","-25,000,000","-30,000,000","-70,000,000","-35,000,000","-30,000,000","-27,000,000","-78,000,000","-36,000,000","-20,000,000","-63,000,000","-93,000,000","-36,000,000","-28,000,000","-32,000,000"
		CapitalExpenditureReported,"-342,000,000","-60,000,000","-133,000,000","-70,000,000","-79,000,000","-71,000,000","-181,000,000","-115,000,000","-124,000,000","-110,000,000","-170,000,000","-116,000,000","-102,000,000","-75,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,"-91,000,000","-79,000,000","-58,000,000","-140,000,000","-60,000,000","-48,000,000","-37,000,000","-102,000,000","-37,000,000","-29,000,000","-20,000,000","-74,000,000","-40,000,000","-27,000,000","-24,000,000","-54,000,000","-30,000,000","-25,000,000","-30,000,000","-70,000,000","-35,000,000","-30,000,000","-27,000,000","-78,000,000","-36,000,000","-20,000,000","-63,000,000","-95,000,000","-36,000,000","-28,000,000","-32,000,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,"-91,000,000","-79,000,000","-58,000,000","-140,000,000","-60,000,000","-48,000,000","-37,000,000","-102,000,000","-37,000,000","-29,000,000","-20,000,000","-74,000,000","-40,000,000","-27,000,000","-24,000,000","-54,000,000","-30,000,000","-25,000,000","-30,000,000","-70,000,000","-35,000,000","-30,000,000","-27,000,000","-78,000,000","-36,000,000","-20,000,000","-63,000,000","-95,000,000","-36,000,000","-28,000,000","-32,000,000"
		NetBusinessPurchaseAndSale,"-51,000,000","-12,000,000","-40,000,000","1,000,000","0","-378,000,000","0","1,000,000","-1,000,000","-195,000,000","-77,000,000","0",,,"0","0",,,"-372,000,000","0","0","0","0","0","0","-6,000,000","0","1,000,000","-227,000,000","-46,000,000",,,,,,,,,,,,,,,,
			PurchaseOfBusiness,"-51,000,000","-12,000,000","-40,000,000","1,000,000","0","-378,000,000","0","1,000,000","-1,000,000","-195,000,000","-77,000,000","0",,,,,,,"-372,000,000","0","0","0","0","0","0","-6,000,000","0","1,000,000","-227,000,000","-46,000,000",,,,,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"32,000,000","26,000,000","0","2,000,000","4,000,000","5,000,000","24,000,000","5,000,000","33,000,000","36,000,000","38,000,000","14,000,000","17,000,000","5,000,000","21,000,000","8,000,000",,,"0","0",,,"0","0","21,000,000","32,000,000",,,,,"0",,,,,,,,,,,,,,,
FinancingCashFlow,"-328,000,000","-102,000,000","-661,000,000","-42,000,000","477,000,000","329,000,000","-366,000,000","-251,000,000","114,000,000","69,000,000","-267,000,000","-135,000,000","-274,000,000","-223,000,000","-99,000,000","-67,000,000","-166,000,000","-152,000,000","-70,000,000","-89,000,000","-66,000,000","-118,000,000","-86,000,000","-506,000,000","-102,000,000","-89,000,000","-107,000,000","-40,000,000","-168,000,000","-17,000,000","-90,000,000","-37,000,000","-29,000,000","-13,000,000","-12,000,000","-5,000,000","-3,000,000","-8,000,000","-17,000,000","-41,000,000","-10,000,000","652,000,000","-115,000,000","-137,000,000","-67,000,000","149,000,000"
	CashFlowFromContinuingFinancingActivities,"-328,000,000","-102,000,000","-661,000,000","-42,000,000","477,000,000","329,000,000","-366,000,000","-251,000,000","114,000,000","69,000,000","-267,000,000","-135,000,000","-274,000,000","-223,000,000","-99,000,000","-67,000,000","-166,000,000","-152,000,000","-70,000,000","-89,000,000","-66,000,000","-118,000,000","-86,000,000","-506,000,000","-102,000,000","-89,000,000","-107,000,000","-40,000,000","-168,000,000","-17,000,000","-90,000,000","-37,000,000","-29,000,000","-13,000,000","-12,000,000","-5,000,000","-3,000,000","-8,000,000","-17,000,000","-41,000,000","-10,000,000","652,000,000","-115,000,000","-137,000,000","-67,000,000","149,000,000"
		NetIssuancePaymentsOfDebt,"-83,000,000","0","-615,000,000","0","532,000,000","468,000,000","-264,000,000","-150,000,000","202,000,000","212,000,000",,,,,,,,,"0","0",,,"-33,000,000","-374,000,000",,,"-74,000,000","-22,000,000","-14,000,000","0","-29,000,000","-9,000,000","0","-13,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-7,000,000","-7,000,000","821,000,000","0","0","0","0"
			NetLongTermDebtIssuance,,,"-615,000,000","0","620,000,000","380,000,000","-264,000,000","-150,000,000","202,000,000","212,000,000",,,,,,,,,"0","0",,,"-33,000,000","-374,000,000",,,"-74,000,000","-22,000,000","-14,000,000","0","-29,000,000","-9,000,000","0","-13,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-7,000,000","947,000,000","821,000,000","0","0","0","0"
				LongTermDebtIssuance,,,"0","0","1,000,000,000","385,000,000","71,000,000","1,762,000,000","2,107,000,000","1,179,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1,775,000,000","178,000,000","0","0","0"
				LongTermDebtPayments,,,"-615,000,000","0","-380,000,000","-5,000,000","-335,000,000","-1,912,000,000","-1,905,000,000","-967,000,000",,,,,,,,,"0","0",,,"-633,000,000","-374,000,000",,,"-674,000,000","-22,000,000","-14,000,000","0","-29,000,000","-9,000,000","0","-13,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-7,000,000","947,000,000","-954,000,000","-178,000,000","0","0","0"
			NetShortTermDebtIssuance,"-468,000,000","0","0","0","-468,000,000","468,000,000","-264,000,000","-150,000,000","202,000,000","212,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,,,"0",,
				ShortTermDebtIssuance,"-88,000,000","0","0","0","-88,000,000","473,000,000","71,000,000","1,762,000,000","2,107,000,000","1,179,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-380,000,000","0","0","0","-380,000,000","-5,000,000","-335,000,000","-1,912,000,000","-1,905,000,000","-967,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,,,"0",,
		NetCommonStockIssuance,"-49,000,000","-49,000,000","0","0","0","-84,000,000","-60,000,000","-66,000,000","-52,000,000","-84,000,000","-230,000,000","-104,000,000","-242,000,000","-166,000,000","-39,000,000","-40,000,000","-139,000,000","-68,000,000","-42,000,000","-66,000,000","-42,000,000","-44,000,000","-40,000,000","-102,000,000","-61,000,000","-29,000,000","-26,000,000","-8,000,000","-94,000,000","-10,000,000","-66,000,000","-28,000,000",,,,,,,,,,,,,,
			CommonStockPayments,"-49,000,000","-49,000,000","0","0","0","-84,000,000","-60,000,000","-66,000,000","-52,000,000","-84,000,000","-230,000,000","-104,000,000","-242,000,000","-166,000,000","-39,000,000","-40,000,000","-139,000,000","-68,000,000","-42,000,000","-66,000,000","-42,000,000","-44,000,000","-40,000,000","-102,000,000","-61,000,000","-29,000,000","-26,000,000","-8,000,000","-94,000,000","-10,000,000","-66,000,000","-28,000,000",,,,,,,,,,,,,,
		CashDividendsPaid,"-176,000,000","-46,000,000","-46,000,000","-42,000,000","-42,000,000","-42,000,000","-42,000,000","-35,000,000","-36,000,000","-36,000,000","-37,000,000","-31,000,000","-32,000,000","-32,000,000","-33,000,000","-27,000,000","-27,000,000","-28,000,000","-28,000,000","-22,000,000","-24,000,000","-24,000,000","-23,000,000","-19,000,000","-20,000,000","-19,000,000","-19,000,000","-10,000,000","-10,000,000","-10,000,000","-10,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","0","0","0","0","0","0","-1,429,000,000","0","0","0","0"
			CommonStockDividendPaid,,,"-46,000,000","-42,000,000","-42,000,000","-42,000,000","-42,000,000","-35,000,000","-36,000,000","-36,000,000","-37,000,000","-31,000,000","-32,000,000","-32,000,000","-33,000,000","-27,000,000","-27,000,000","-28,000,000","-28,000,000","-22,000,000","-24,000,000","-24,000,000","-23,000,000","-19,000,000","-20,000,000","-19,000,000","-19,000,000","-10,000,000","-10,000,000","-10,000,000","-10,000,000","-5,000,000","-5,000,000","-5,000,000",,,,,,,,"-1,429,000,000",,,,"0"
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1,000,000","1,000,000","1,000,000","3,000,000","1,000,000","2,000,000","1,000,000","2,000,000",,,"1,000,000","0",,,"0","0",,
		NetOtherFinancingCharges,"-20,000,000","-7,000,000","0","0","-13,000,000","-13,000,000","0","0","0","-23,000,000","0","0","0","-25,000,000","-12,000,000","0","0","-56,000,000","0","-1,000,000","0","-50,000,000","10,000,000","-11,000,000","0","-41,000,000","12,000,000","0","-51,000,000","2,000,000","14,000,000","2,000,000","0","3,000,000",,,,,"-10,000,000","-34,000,000","-4,000,000","1,260,000,000","-115,000,000","-137,000,000","-67,000,000","149,000,000"
EndCashPosition,"407,000,000","407,000,000","512,000,000","744,000,000","631,000,000","28,000,000","75,000,000","32,000,000","29,000,000","51,000,000","240,000,000","68,000,000","398,000,000","528,000,000","701,000,000","499,000,000","553,000,000","608,000,000","720,000,000","957,000,000","852,000,000","793,000,000","894,000,000","671,000,000","960,000,000","904,000,000","990,000,000","769,000,000","592,000,000","742,000,000","1,043,000,000","895,000,000","623,000,000","652,000,000","1,057,000,000","766,000,000","669,000,000","551,000,000","915,000,000","536,000,000","381,000,000","225,000,000","0","0","0","0"
	ChangesInCash,"379,000,000","-105,000,000","-232,000,000","113,000,000","603,000,000","-47,000,000","43,000,000","3,000,000","-22,000,000","-189,000,000","172,000,000","-330,000,000","-130,000,000","-173,000,000","202,000,000","-54,000,000","-55,000,000","-112,000,000","-237,000,000","105,000,000","59,000,000","-101,000,000","223,000,000","-289,000,000","56,000,000","-86,000,000","221,000,000","177,000,000","-150,000,000","-301,000,000","148,000,000","272,000,000","-29,000,000","-405,000,000","291,000,000","97,000,000","118,000,000","-364,000,000","379,000,000","155,000,000","156,000,000","225,000,000",,,,
	BeginningCashPosition,"28,000,000","512,000,000","744,000,000","631,000,000","28,000,000","75,000,000","32,000,000","29,000,000","51,000,000","240,000,000","68,000,000","398,000,000","528,000,000","701,000,000","499,000,000","553,000,000","608,000,000","720,000,000","957,000,000","852,000,000","793,000,000","894,000,000","671,000,000","960,000,000","904,000,000","990,000,000","769,000,000","592,000,000","742,000,000","1,043,000,000","895,000,000","623,000,000","652,000,000","1,057,000,000","766,000,000","669,000,000","551,000,000","915,000,000","536,000,000","381,000,000","225,000,000","0","0","0","0","0"
IncomeTaxPaidSupplementalData,,,"49,000,000","83,000,000","21,000,000","2,000,000","13,000,000","35,000,000","89,000,000","0","65,000,000","56,000,000","20,000,000","1,000,000","50,000,000","73,000,000","96,000,000","4,000,000","31,000,000","75,000,000","84,000,000","39,000,000","32,000,000","79,000,000","105,000,000","26,000,000","29,000,000","38,000,000","64,000,000","30,000,000","100,000,000","13,000,000","28,000,000","13,000,000","0","20,000,000","4,000,000","4,000,000","12,000,000","23,000,000",,,"0","0",,
InterestPaidSupplementalData,"89,000,000","1,000,000","56,000,000","1,000,000","31,000,000","1,000,000","35,000,000","5,000,000","35,000,000","0","30,000,000","1,000,000","30,000,000","1,000,000","35,000,000","1,000,000","35,000,000","1,000,000","35,000,000","0","35,000,000","1,000,000","28,000,000","23,000,000","22,000,000","23,000,000","17,000,000","44,000,000","7,000,000","45,000,000","8,000,000","46,000,000","9,000,000","46,000,000","9,000,000","47,000,000","8,000,000","47,000,000","9,000,000","47,000,000","8,000,000","0","4,000,000","4,000,000","8,000,000","0"
CapitalExpenditure,"-342,000,000","-60,000,000","-133,000,000","-70,000,000","-79,000,000","-71,000,000","-181,000,000","-115,000,000","-124,000,000","-110,000,000","-170,000,000","-116,000,000","-102,000,000","-75,000,000","-154,000,000","-91,000,000","-79,000,000","-58,000,000","-140,000,000","-60,000,000","-48,000,000","-37,000,000","-102,000,000","-37,000,000","-29,000,000","-20,000,000","-74,000,000","-40,000,000","-27,000,000","-24,000,000","-54,000,000","-30,000,000","-25,000,000","-30,000,000","-70,000,000","-35,000,000","-30,000,000","-27,000,000","-78,000,000","-36,000,000","-20,000,000","-63,000,000","-95,000,000","-36,000,000","-28,000,000","-32,000,000"
IssuanceOfDebt,"912,000,000","0","0","0","912,000,000","473,000,000","71,000,000","1,762,000,000","2,107,000,000","1,179,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1,775,000,000","178,000,000","0","0","0"
RepaymentOfDebt,"-995,000,000","0","-615,000,000","0","-380,000,000","-5,000,000","-335,000,000","-1,912,000,000","-1,905,000,000","-967,000,000",,,,,,,,,"0","0",,,"-633,000,000","-374,000,000",,,"-674,000,000","-22,000,000","-14,000,000","0","-29,000,000","-9,000,000","0","-13,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-7,000,000","-7,000,000","-954,000,000","-178,000,000","0","0","0"
RepurchaseOfCapitalStock,"-49,000,000","-49,000,000","0","0","0","-84,000,000","-60,000,000","-66,000,000","-52,000,000","-84,000,000","-230,000,000","-104,000,000","-242,000,000","-166,000,000","-39,000,000","-40,000,000","-139,000,000","-68,000,000","-42,000,000","-66,000,000","-42,000,000","-44,000,000","-40,000,000","-102,000,000","-61,000,000","-29,000,000","-26,000,000","-8,000,000","-94,000,000","-10,000,000","-66,000,000","-28,000,000",,,,,,,,,,,,,,
FreeCashFlow,"726,000,000","-17,000,000","469,000,000","152,000,000","122,000,000","-3,000,000","385,000,000","248,000,000","-168,000,000","-99,000,000","478,000,000","-209,000,000","137,000,000","45,000,000","280,000,000","5,000,000","107,000,000","40,000,000","205,000,000","194,000,000","121,000,000","17,000,000","309,000,000","217,000,000","137,000,000","-23,000,000","328,000,000","216,000,000","245,000,000","-238,000,000","238,000,000","251,000,000","0","-392,000,000","303,000,000","102,000,000","121,000,000","-356,000,000","396,000,000","196,000,000","166,000,000","-427,000,000","113,000,000","137,000,000","67,000,000","-149,000,000"